rank,name,country,profile_url,ytd_prize
68,M. Bellucci,ITA,https://www.atptour.com/en/players/mattia-bellucci/b0gg/overview,323964
69,D. Dzumhur,BIH,https://www.atptour.com/en/players/damir-dzumhur/d923/overview,391370
70,Y. Bu,CHN,https://www.atptour.com/en/players/yunchaokete-bu/y09v/overview,392948
71,J. Shang,CHN,https://www.atptour.com/en/players/juncheng-shang/s0re/overview,116580
72,R. Safiullin,RUS,https://www.atptour.com/en/players/roman-safiullin/sx50/overview,306123
73,C. Moutet,FRA,https://www.atptour.com/en/players/corentin-moutet/mw02/overview,473248
74,H. Medjedovic,SRB,https://www.atptour.com/en/players/hamad-medjedovic/m0jf/overview,260433
75,A. Rinderknech,FRA,https://www.atptour.com/en/players/arthur-rinderknech/rc91/overview,331138
76,A. Kovacevic,USA,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/overview,328827
77,Y. Nishioka,JPN,https://www.atptour.com/en/players/yoshihito-nishioka/n732/overview,279476
78,R. Hijikata,AUS,https://www.atptour.com/en/players/rinky-hijikata/h0bh/overview,335451
79,Z. Zhang,CHN,https://www.atptour.com/en/players/zhizhen-zhang/z371/overview,305439
80,A. Vukic,AUS,https://www.atptour.com/en/players/aleksandar-vukic/v832/overview,401715
81,C. Norrie,GBR,https://www.atptour.com/en/players/cameron-norrie/n771/overview,443050
82,C. O'Connell,AUS,https://www.atptour.com/en/players/christopher-o'connell/o483/overview,343137
83,H. Gaston,FRA,https://www.atptour.com/en/players/hugo-gaston/g09o/overview,320652
84,R. Collignon,BEL,https://www.atptour.com/en/players/raphael-collignon/c0jp/overview,117874
85,B. Coric,CRO,https://www.atptour.com/en/players/borna-coric/cg80/overview,291084
86,V. Kopriva,CZE,https://www.atptour.com/en/players/vit-kopriva/ki82/overview,195423
87,J. Struff,GER,https://www.atptour.com/en/players/jan-lennard-struff/sl28/overview,344967
88,J. de Jong,NED,https://www.atptour.com/en/players/jesper-de-jong/d0c1/overview,178566
89,B. van de Zandschulp,NED,https://www.atptour.com/en/players/botic-van-de-zandschulp/v812/overview,286748
90,H. Dellien,BOL,https://www.atptour.com/en/players/hugo-dellien/da31/overview,162985
91,A. Walton,AUS,https://www.atptour.com/en/players/adam-walton/w09e/overview,295770
92,J. Duckworth,AUS,https://www.atptour.com/en/players/james-duckworth/d994/overview,223465
93,R. Opelka,USA,https://www.atptour.com/en/players/reilly-opelka/o522/overview,456203
94,C. Tseng,TPE,https://www.atptour.com/en/players/chun-hsin-tseng/t0ap/overview,214832
95,L. Nardi,ITA,https://www.atptour.com/en/players/luca-nardi/n0bg/overview,335662
96,K. Majchrzak,POL,https://www.atptour.com/en/players/kamil-majchrzak/mq75/overview,205182
97,M. Navone,ARG,https://www.atptour.com/en/players/mariano-navone/n0bs/overview,394220
98,M. McDonald,USA,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/overview,162342
99,P. Carreno Busta,ESP,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/overview,424479
100,N. Basavareddy,USA,https://www.atptour.com/en/players/nishesh-basavareddy/b0nn/overview,202618
